time,u_top_avg,P_total,eps_nom,sig_nom
0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,-0.000000e+00
1.000000e-01,1.000000e-02,-3.345485e-08,1.924501e-05,-7.272794e-09
2.000000e-01,2.000000e-02,-6.668012e-08,3.849002e-05,-1.449568e-08
3.500000e-01,3.500000e-02,-1.167092e-07,6.735753e-05,-2.537155e-08
5.750000e-01,5.750000e-02,-1.917823e-07,1.106588e-04,-4.169181e-08
9.125000e-01,9.125000e-02,-3.044588e-07,1.756107e-04,-6.618669e-08
1.418750e+00,1.418750e-01,-4.736215e-07,2.730386e-04,-1.029612e-07
2.178125e+00,2.178125e-01,-7.277036e-07,4.191803e-04,-1.581964e-07
3.178125e+00,3.178125e-01,-1.062912e-06,6.116304e-04,-2.310679e-07
4.178125e+00,4.178125e-01,-1.398833e-06,8.040805e-04,-3.040940e-07
5.178125e+00,5.178125e-01,-1.735458e-06,9.965306e-04,-3.772734e-07
6.178125e+00,6.178125e-01,-2.072793e-06,1.188981e-03,-4.506072e-07
7.178125e+00,7.178125e-01,-2.410845e-06,1.381431e-03,-5.240968e-07
8.178125e+00,8.178125e-01,-2.749611e-06,1.573881e-03,-5.977415e-07
9.178125e+00,9.178125e-01,-3.089097e-06,1.766331e-03,-6.715428e-07
1.000000e+01,1.000000e+00,-3.368650e-06,1.924501e-03,-7.323153e-07
