trial_index,trial_label,started_at,completed_at,best_epoch,best_val_loss,test_loss,test_mse,test_mae,test_rmse,test_r2,model_name,hidden_dim,num_layers,dropout,batch_size,learning_rate,weight_decay,epochs,patience,split_random_state,seed,trial_dir,model_path
3,trial_03,2026-06-03T11:32:19,2026-06-03T11:32:57,66,0.0021689090062864125,0.007736295694485307,0.007648320868611336,0.07357113808393478,0.08745467894064522,-0.05760681629180908,gcn,32,3,0.1,8,0.0015,0.0,140,25,42,73,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_03,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_03\best_model.pt
5,trial_05,2026-06-03T11:33:14,2026-06-03T11:33:50,71,0.0021770436433143914,0.007391083287075162,0.00729482714086771,0.07087177783250809,0.08540976022017455,-0.008725881576538086,gcn,48,3,0.1,8,0.0007,0.0001,140,25,42,11,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_05,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_05\best_model.pt
7,trial_07,2026-06-03T11:34:00,2026-06-03T11:34:12,61,0.002179545001126826,0.00739440112374723,0.0072974469512701035,0.07067423313856125,0.08542509555903408,-0.00908803939819336,gcn,64,2,0.1,8,0.0005,0.0001,140,25,42,73,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_07,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_07\best_model.pt
9,trial_09,2026-06-03T11:34:24,2026-06-03T11:34:33,78,0.002182726631872356,0.007557485951110721,0.007475300692021847,0.07280311733484268,0.08645982125832696,-0.033681631088256836,gcn,96,2,0.1,8,0.0005,0.0001,140,25,42,42,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_09,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_09\best_model.pt
10,trial_10,2026-06-03T11:34:33,2026-06-03T11:34:44,66,0.002186767291277647,0.007515565492212772,0.007423768751323223,0.07217682898044586,0.08616129497241336,-0.026555895805358887,gcn,96,3,0.05,8,0.001,0.0,140,25,42,73,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_10,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_10\best_model.pt
4,trial_04,2026-06-03T11:32:57,2026-06-03T11:33:14,22,0.0022086570970714092,0.0075433324091136456,0.007464597932994366,0.07248122245073318,0.08639790467942128,-0.03220164775848389,gcn,48,2,0.05,8,0.001,1e-05,140,25,42,42,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_04,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_04\best_model.pt
1,trial_01,2026-06-03T11:31:41,2026-06-03T11:31:57,133,0.0022113046143203974,0.007254423340782523,0.00715489499270916,0.06904982030391693,0.08458661237281677,0.010623931884765625,gcn,32,2,0.0,8,0.001,0.0,140,25,42,11,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_01,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_01\best_model.pt
8,trial_08,2026-06-03T11:34:12,2026-06-03T11:34:24,129,0.0022216441575437784,0.007259326986968517,0.007259327452629805,0.0704316720366478,0.08520168691187871,-0.003816962242126465,gcn,64,3,0.05,16,0.001,0.0001,140,25,42,11,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_08,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_08\best_model.pt
11,trial_11,2026-06-03T11:34:44,2026-06-03T11:34:50,43,0.0022457463201135397,0.0073779672384262085,0.007377968169748783,0.07106396555900574,0.08589509980056362,-0.02022254467010498,gcn,128,2,0.1,16,0.0007,0.0001,140,25,42,11,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_11,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_11\best_model.pt
2,trial_02,2026-06-03T11:31:57,2026-06-03T11:32:19,127,0.002265546878334135,0.007222233340144157,0.007116890978068113,0.06801800429821014,0.08436166770558838,0.01587909460067749,gcn,32,2,0.1,8,0.001,1e-05,140,25,42,42,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_02,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_02\best_model.pt
