field,value
run_number,8
run_label,trial_08
started_at,2026-06-03T11:34:12
completed_at,2026-06-03T11:34:24
epochs_trained,140
best_epoch,129
best_val_loss,0.0022216441575437784
model_path,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_08\best_model.pt
config_batch_size,16
config_dropout,0.05
config_epochs,140
config_hidden_dim,64
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,3
config_patience,25
config_seed,11
config_split_random_state,42
config_weight_decay,0.0001
