metric,value
run_number,10
run_label,trial_10
started_at,2026-06-03T11:34:33
completed_at,2026-06-03T11:34:44
config_batch_size,8
config_dropout,0.05
config_epochs,140
config_hidden_dim,96
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,3
config_patience,25
config_seed,73
config_split_random_state,42
config_weight_decay,0.0
epochs_trained,91
best_epoch,66
best_val_loss,0.002186767291277647
test_loss,0.007515565492212772
test_mse,0.007423768751323223
test_mae,0.07217682898044586
test_rmse,0.08616129497241336
test_r2,-0.026555895805358887
