metric,value
run_number,6
run_label,run_0006_20260607_092215
started_at,2026-06-07T09:22:15
completed_at,2026-06-07T09:22:24
config_batch_size,8
config_dropout,0.2
config_epochs,100
config_hidden_dim,64
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,3
config_patience,15
config_seed,42
config_split_random_state,42
config_weight_decay,1e-05
epochs_trained,54
best_epoch,39
best_val_loss,0.0008132205402944237
test_loss,0.003030161722563207
test_mse,0.002983933547511697
test_mae,0.043622102588415146
test_rmse,0.054625392881989386
test_r2,0.5873828530311584
