field,value
run_number,7
run_label,run_0007_20260607_092805
started_at,2026-06-07T09:28:05
completed_at,2026-06-07T09:28:12
epochs_trained,47
best_epoch,32
best_val_loss,0.0018894131062552333
model_path,C:\Users\alexg\Downloads\NSF-REU-Summer-26\Mock GNN Workflow\results\runs\run_0007_20260607_092805\best_model.pt
config_batch_size,8
config_dropout,0.2
config_epochs,100
config_hidden_dim,64
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,3
config_patience,15
config_seed,42
config_split_random_state,42
config_weight_decay,1e-05
