field,value
run_number,1
run_label,trial_01
started_at,2026-06-03T11:31:41
completed_at,2026-06-03T11:31:57
epochs_trained,140
best_epoch,133
best_val_loss,0.0022113046143203974
model_path,C:\Users\alexg\Downloads\NSF-REU-Summer-26\active_projects\mock_gnn_workflow\results\hyperparameter_searches\search_0001_20260603_113140\trials\trial_01\best_model.pt
config_batch_size,8
config_dropout,0.0
config_epochs,140
config_hidden_dim,32
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,11
config_split_random_state,42
config_weight_decay,0.0

