metric,value
run_number,9
run_label,trial_09
started_at,2026-06-03T11:34:24
completed_at,2026-06-03T11:34:33
config_batch_size,8
config_dropout,0.1
config_epochs,140
config_hidden_dim,96
config_learning_rate,0.0005
config_model_name,gcn
config_num_layers,2
config_patience,25
config_seed,42
config_split_random_state,42
config_weight_decay,0.0001
epochs_trained,103
best_epoch,78
best_val_loss,0.002182726631872356
test_loss,0.007557485951110721
test_mse,0.007475300692021847
test_mae,0.07280311733484268
test_rmse,0.08645982125832696
test_r2,-0.033681631088256836
