metric,value
run_number,4
run_label,run_0004_20260605_135109
started_at,2026-06-05T13:51:09
completed_at,2026-06-05T13:51:19
config_batch_size,8
config_dropout,0.2
config_epochs,100
config_hidden_dim,64
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,3
config_patience,15
config_seed,42
config_split_random_state,42
config_weight_decay,1e-05
epochs_trained,62
best_epoch,47
best_val_loss,0.0021834744256921113
test_loss,0.007447168929502368
test_mse,0.0073528834618628025
test_mae,0.07094931602478027
test_rmse,0.08574895603949241
test_r2,-0.0167539119720459
test_baseline_mse,0.007231724448502064
test_baseline_mae,0.07110181450843811
test_baseline_rmse,0.08503954637991705
