field,value
run_number,4
run_label,run_0004_20260605_135109
started_at,2026-06-05T13:51:09
completed_at,2026-06-05T13:51:19
epochs_trained,62
best_epoch,47
best_val_loss,0.0021834744256921113
model_path,C:\Users\alexg\Downloads\NSF-REU-Summer-26\active_projects\mock_gnn_workflow\results\runs\run_0004_20260605_135109\best_model.pt
config_batch_size,8
config_dropout,0.2
config_epochs,100
config_hidden_dim,64
config_learning_rate,0.001
config_model_name,gcn
config_num_layers,3
config_patience,15
config_seed,42
config_split_random_state,42
config_weight_decay,1e-05

