,mean,std,min,max
Best_Val_Loss,0.05927171485126019,0.005368222079712364,0.05296834290027618,0.06574427247047425
Validation_RMSE,0.0029814237395635345,0.00013077696750393345,0.002838808762854524,0.0031528478669744704
Validation_MAE,0.0024077069945633413,0.00011946604623645366,0.002267052885144949,0.0025912350974977016
Validation_R2,0.9416326761245728,0.008565213138664422,0.9305142760276794,0.9531630873680115
Test_RMSE,0.00290756576980689,0.00015010411321126808,0.0027581557168232127,0.003129022581360993
Test_MAE,0.002308734180405736,0.00013903532780641884,0.002160079078748822,0.0024679838679730892
Test_R2,0.9447221040725708,0.007417248059430033,0.9384294748306274,0.9548667073249817
Prediction_RMSE,0.0029890809107664443,0.00015701941554800524,0.0027297725817630723,0.0031109177794159536
Prediction_MAE,0.0025368391536176203,0.00020219223954120086,0.002282471163198352,0.00271605234593153
Prediction_R2,0.445911169052124,0.05668434627362029,0.40114259719848633,0.5388955473899841
