Architecture,Architecture_Key,Seed,Input_Dim,Graph_Feature_Dim,Epochs_Completed,Best_Val_Loss,Validation_RMSE,Validation_MAE,Validation_R2,Test_RMSE,Test_MAE,Test_R2,Prediction_RMSE,Prediction_MAE,Prediction_R2,Output_Dir
GCN-2 Control (Best Prior),gcn2_control,11,9,12,900,0.05714188665151596,0.002960170513374042,0.0023889236617833376,0.9383862018585205,0.0029551314165182623,0.002350160852074623,0.9389702677726746,0.003062732899344163,0.002667875261977315,0.4195502996444702,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn2_control/run_20260629_144919
GCN-3,gcn3,11,9,12,900,0.05859541136771441,0.0029975833101476166,0.0024126386269927025,0.9368189573287964,0.0029322284430765596,0.0023355018347501755,0.9399125576019287,0.003076894620589823,0.0027082154992967844,0.4141700267791748,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn3/run_20260629_150536
GCN-2 Control (Best Prior),gcn2_control,42,9,12,900,0.06393893897533416,0.0030730526750053005,0.002434258349239826,0.9397088289260864,0.0027794132380774793,0.00216697552241385,0.9548667073249817,0.0031109177794159536,0.00271605234593153,0.40114259719848633,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn2_control/run_20260629_151751
GCN-3,gcn3,42,9,12,900,0.06460385143756867,0.003088990123204455,0.0024814335629343987,0.9390818476676941,0.0027726635440147593,0.002178695984184742,0.9550856351852417,0.002982234739829534,0.0024501858279109,0.44966137409210205,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn3/run_20260629_153457
GCN-2 Control (Best Prior),gcn2_control,73,9,12,900,0.05296834290027618,0.002838808762854524,0.0023570649791508913,0.9463909864425659,0.0029161058962545033,0.0023984715808182955,0.9410533905029297,0.002953632360330694,0.0023540202528238297,0.4601672887802124,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn2_control/run_20260629_154649
GCN-3,gcn3,73,9,12,900,0.0537591940164566,0.0028599229923399663,0.002372206887230277,0.945590615272522,0.002815438311852995,0.0022790846414864063,0.9450529217720032,0.0028413005382410044,0.0023944613058120012,0.5004479885101318,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn3/run_20260629_160325
GCN-2 Control (Best Prior),gcn2_control,101,9,12,900,0.05656513325870037,0.002882238879609336,0.002267052885144949,0.9531630873680115,0.0027581557168232127,0.002160079078748822,0.9502906799316406,0.0027297725817630723,0.002282471163198352,0.5388955473899841,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn2_control/run_20260629_161532
GCN-3,gcn3,101,9,12,900,0.05813650041818619,0.0029219985002160494,0.002372174523770809,0.9518619775772095,0.0026592609374148663,0.0021587787196040154,0.9537914991378784,0.0030439766389491105,0.002615782432258129,0.4266378879547119,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn3/run_20260629_163204
GCN-2 Control (Best Prior),gcn2_control,202,9,12,900,0.06574427247047425,0.0031528478669744704,0.0025912350974977016,0.9305142760276794,0.003129022581360993,0.0024679838679730892,0.9384294748306274,0.0030883489329783403,0.002663776744157076,0.40980011224746704,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn2_control/run_20260629_164411
GCN-3,gcn3,202,9,12,900,0.06424058631062507,0.003116583736519247,0.002601329004392028,0.9321035146713257,0.003232721866022643,0.002612696960568428,0.9342808723449707,0.0030204183009534665,0.002572491532191634,0.4354783892631531,/content/drive/MyDrive/GCN_Cloud_Outputs_Architecture_Comparison_Multi_Seed/run_20260629_143551/per_model/gcn3/run_20260629_170037
