Dataset,Transform,Sample_Index,Sample_ID,Member_Seed,Original_Prediction,Transformed_Prediction,Signed_Prediction_Change,Absolute_Prediction_Change
Test,original,0,randomness_0.4364,11,0.029328474774956703,0.029328474774956703,0.0,0.0
Test,original,0,randomness_0.4364,42,0.02898513711988926,0.02898513711988926,0.0,0.0
Test,original,0,randomness_0.4364,73,0.02831052429974079,0.02831052429974079,0.0,0.0
Test,original,0,randomness_0.4364,101,0.026842651888728142,0.026842651888728142,0.0,0.0
Test,original,0,randomness_0.4364,202,0.027496783062815666,0.027496783062815666,0.0,0.0
Test,original,1,randomness_0.8999,11,-0.00027523082098923624,-0.00027523082098923624,0.0,0.0
Test,original,1,randomness_0.8999,42,0.0020282261539250612,0.0020282261539250612,0.0,0.0
Test,original,1,randomness_0.8999,73,0.002130600856617093,0.002130600856617093,0.0,0.0
Test,original,1,randomness_0.8999,101,0.0029510699678212404,0.0029510699678212404,0.0,0.0
Test,original,1,randomness_0.8999,202,0.0028424125630408525,0.0028424125630408525,0.0,0.0
Test,original,2,randomness_0.3463,11,0.03137160837650299,0.03137160837650299,0.0,0.0
Test,original,2,randomness_0.3463,42,0.029672380536794662,0.029672380536794662,0.0,0.0
Test,original,2,randomness_0.3463,73,0.03040117397904396,0.03040117397904396,0.0,0.0
Test,original,2,randomness_0.3463,101,0.03127838671207428,0.03127838671207428,0.0,0.0
Test,original,2,randomness_0.3463,202,0.03139711543917656,0.03139711543917656,0.0,0.0
Test,original,3,randomness_0.0601,11,0.03848334029316902,0.03848334029316902,0.0,0.0
Test,original,3,randomness_0.0601,42,0.03927703574299812,0.03927703574299812,0.0,0.0
Test,original,3,randomness_0.0601,73,0.03915226832032204,0.03915226832032204,0.0,0.0
Test,original,3,randomness_0.0601,101,0.03905099630355835,0.03905099630355835,0.0,0.0
Test,original,3,randomness_0.0601,202,0.03978098928928375,0.03978098928928375,0.0,0.0
Test,original,4,randomness_0.8679,11,0.007861494086682796,0.007861494086682796,0.0,0.0
Test,original,4,randomness_0.8679,42,0.009166841395199299,0.009166841395199299,0.0,0.0
Test,original,4,randomness_0.8679,73,0.008291478268802166,0.008291478268802166,0.0,0.0
Test,original,4,randomness_0.8679,101,0.008415508083999157,0.008415508083999157,0.0,0.0
Test,original,4,randomness_0.8679,202,0.00875870045274496,0.00875870045274496,0.0,0.0
Test,original,5,randomness_0.4324,11,0.03329095244407654,0.03329095244407654,0.0,0.0
Test,original,5,randomness_0.4324,42,0.03323908522725105,0.03323908522725105,0.0,0.0
Test,original,5,randomness_0.4324,73,0.03274717554450035,0.03274717554450035,0.0,0.0
Test,original,5,randomness_0.4324,101,0.032100189477205276,0.032100189477205276,0.0,0.0
Test,original,5,randomness_0.4324,202,0.03204416483640671,0.03204416483640671,0.0,0.0
Test,original,6,randomness_0.5435,11,0.02175365947186947,0.02175365947186947,0.0,0.0
Test,original,6,randomness_0.5435,42,0.01974528655409813,0.01974528655409813,0.0,0.0
