Dataset,Transform,Sample_Index,Sample_ID,Actual_Stiffness,Original_Ensemble_Prediction,Transformed_Ensemble_Prediction,Signed_Prediction_Change,Absolute_Prediction_Change,Relative_Prediction_Change_Percent,Original_Member_Std,Transformed_Member_Std,Original_Absolute_Error,Transformed_Absolute_Error,Numerically_Unchanged_At_1e_8
Test,original,0,randomness_0.4364,0.029904160648584366,0.02819271422922611,0.02819271422922611,0.0,0.0,0.0,0.0010294116984001253,0.0010294116984001253,0.0017114464193582549,0.0017114464193582549,True
Test,original,1,randomness_0.8999,0.0001607175508979708,0.0019354157440830023,0.0019354157440830023,0.0,0.0,0.0,0.001302676664390733,0.001302676664390733,0.0017746981931850315,0.0017746981931850315,True
Test,original,2,randomness_0.3463,0.028783505782485008,0.03082413300871849,0.03082413300871849,0.0,0.0,0.0,0.0007648223107890366,0.0007648223107890366,0.002040627226233483,0.002040627226233483,True
Test,original,3,randomness_0.0601,0.038523707538843155,0.03914892598986626,0.03914892598986626,0.0,0.0,0.0,0.0004659725951167148,0.0004659725951167148,0.0006252184510231046,0.0006252184510231046,True
Test,original,4,randomness_0.8679,0.008534790016710758,0.008498804457485677,0.008498804457485677,0.0,0.0,0.0,0.0004924190851258075,0.0004924190851258075,3.5985559225081704e-05,3.5985559225081704e-05,True
Test,original,5,randomness_0.4324,0.03343658149242401,0.032684313505887984,0.032684313505887984,0.0,0.0,0.0,0.0005980646495096384,0.0005980646495096384,0.0007522679865360274,0.0007522679865360274,True
Test,original,6,randomness_0.5435,0.01657457835972309,0.020329218357801437,0.020329218357801437,0.0,0.0,0.0,0.000851384103700825,0.000851384103700825,0.0037546399980783463,0.0037546399980783463,True
Test,original,7,randomness_0.3614,0.03378213196992874,0.03368760943412781,0.03368760943412781,0.0,0.0,0.0,0.00020268802402117266,0.00020268802402117266,9.452253580093106e-05,9.452253580093106e-05,True
Test,original,8,randomness_0.4865,0.028001928701996803,0.03142721988260746,0.03142721988260746,0.0,0.0,0.0,0.000429626148352744,0.000429626148352744,0.0034252911806106554,0.0034252911806106554,True
Test,original,9,randomness_0.2773,0.035752955824136734,0.03760512620210647,0.03760512620210647,0.0,0.0,0.0,0.00031560432580799325,0.00031560432580799325,0.001852170377969739,0.001852170377969739,True
Test,original,10,randomness_0.6627,0.02130408026278019,0.022804492339491843,0.022804492339491843,0.0,0.0,0.0,0.0009751313371816254,0.0009751313371816254,0.001500412076711654,0.001500412076711654,True
Test,original,11,randomness_0.3774,0.034980010241270065,0.03397245183587074,0.03397245183587074,0.0,0.0,0.0,0.0007347644872700862,0.0007347644872700862,0.001007558405399324,0.001007558405399324,True
Test,original,12,randomness_0.6687,0.01660303585231304,0.021212150156497956,0.021212150156497956,0.0,0.0,0.0,0.0005889595048764632,0.0005889595048764632,0.004609114304184914,0.004609114304184914,True
Test,original,13,randomness_0.5896,0.025645151734352112,0.024923408403992653,0.024923408403992653,0.0,0.0,0.0,0.0007911659528872577,0.0007911659528872577,0.0007217433303594589,0.0007217433303594589,True
Test,original,14,randomness_0.3554,0.03571183979511261,0.03606520816683769,0.03606520816683769,0.0,0.0,0.0,0.0008034981800248337,0.0008034981800248337,0.000353368371725081,0.000353368371725081,True
Test,original,15,randomness_0.2593,0.034776538610458374,0.03688777014613152,0.03688777014613152,0.0,0.0,0.0,0.0004954891017095303,0.0004954891017095303,0.002111231535673143,0.002111231535673143,True
Test,original,16,randomness_0.6176,0.025575056672096252,0.019655602425336836,0.019655602425336836,0.0,0.0,0.0,0.0008669856672082005,0.0008669856672082005,0.005919454246759416,0.005919454246759416,True
Test,original,17,randomness_0.9780,3.279328893768252e-06,0.002765930094756186,0.002765930094756186,0.0,0.0,0.0,0.0009333868112379688,0.0009333868112379688,0.002762650765862418,0.002762650765862418,True
Test,original,18,randomness_0.2753,0.03773081675171852,0.03786808028817177,0.03786808028817177,0.0,0.0,0.0,0.0001852412980594714,0.0001852412980594714,0.00013726353645324846,0.00013726353645324846,True
Test,original,19,randomness_0.0701,0.03618176653981209,0.03643096312880516,0.03643096312880516,0.0,0.0,0.0,0.00037331388063519845,0.00037331388063519845,0.00024919658899306973,0.00024919658899306973,True
Test,original,20,randomness_0.2372,0.04343936964869499,0.041466948390007016,0.041466948390007016,0.0,0.0,0.0,0.00048558523235834857,0.00048558523235834857,0.001972421258687976,0.001972421258687976,True
Test,original,21,randomness_0.2803,0.034028586000204086,0.034195809811353686,0.034195809811353686,0.0,0.0,0.0,0.00047886358609213544,0.00047886358609213544,0.00016722381114959994,0.00016722381114959994,True
Test,original,22,randomness_0.8228,0.001965631963685155,0.0053432976827025415,0.0053432976827025415,0.0,0.0,0.0,0.0006835280984216794,0.0006835280984216794,0.0033776657190173866,0.0033776657190173866,True
Test,original,23,randomness_0.2182,0.03561365231871605,0.03455611541867256,0.03455611541867256,0.0,0.0,0.0,0.0004943971106844354,0.0004943971106844354,0.001057536900043489,0.001057536900043489,True
Test,original,24,randomness_0.6927,0.02150697261095047,0.01978771686553955,0.01978771686553955,0.0,0.0,0.0,0.0005758228064852214,0.0005758228064852214,0.0017192557454109199,0.0017192557454109199,True
Test,original,25,randomness_0.2963,0.0379083976149559,0.038877101987600325,0.038877101987600325,0.0,0.0,0.0,0.0004720838161628573,0.0004720838161628573,0.000968704372644423,0.000968704372644423,True
Test,original,26,randomness_0.3183,0.032574255019426346,0.03256628736853599,0.03256628736853599,0.0,0.0,0.0,0.000379162271765732,0.000379162271765732,7.967650890353117e-06,7.967650890353117e-06,True
Test,original,27,randomness_0.8669,0.000550733064301312,0.003543578088283539,0.003543578088283539,0.0,0.0,0.0,0.0004992933162762454,0.0004992933162762454,0.002992845023982227,0.002992845023982227,True
Test,original,28,randomness_0.5596,0.02113732509315014,0.021663343533873558,0.021663343533873558,0.0,0.0,0.0,0.0008512705996039576,0.0008512705996039576,0.0005260184407234192,0.0005260184407234192,True
Test,original,29,randomness_0.2653,0.03422939032316208,0.035274706035852435,0.035274706035852435,0.0,0.0,0.0,0.000698968994951333,0.000698968994951333,0.0010453157126903562,0.0010453157126903562,True
Test,original,30,randomness_0.1361,0.03697212412953377,0.03815213963389397,0.03815213963389397,0.0,0.0,0.0,0.0003634936152391873,0.0003634936152391873,0.001180015504360199,0.001180015504360199,True
Test,original,31,randomness_0.7618,0.01672402210533619,0.0158477121964097,0.0158477121964097,0.0,0.0,0.0,0.0007347028652018808,0.0007347028652018808,0.0008763099089264884,0.0008763099089264884,True
Test,original,32,randomness_0.0300,0.04144977033138275,0.03898252472281456,0.03898252472281456,0.0,0.0,0.0,0.00030690733153364877,0.00030690733153364877,0.0024672456085681888,0.0024672456085681888,True
Test,original,33,randomness_0.2893,0.025877267122268677,0.030227553471922873,0.030227553471922873,0.0,0.0,0.0,0.0004754190846135676,0.0004754190846135676,0.004350286349654196,0.004350286349654196,True
Test,original,34,randomness_0.6436,0.02099030651152134,0.01880144365131855,0.01880144365131855,0.0,0.0,0.0,0.0004400723645116956,0.0004400723645116956,0.0021888628602027907,0.0021888628602027907,True
Test,original,35,randomness_0.6356,0.015841074287891388,0.01852170117199421,0.01852170117199421,0.0,0.0,0.0,0.0006417010137088428,0.0006417010137088428,0.0026806268841028207,0.0026806268841028207,True
Test,original,36,randomness_0.0551,0.03732594847679138,0.03796341717243194,0.03796341717243194,0.0,0.0,0.0,0.00043705074898659066,0.00043705074898659066,0.0006374686956405612,0.0006374686956405612,True
Test,original,37,randomness_0.2152,0.03537635877728462,0.03190508782863617,0.03190508782863617,0.0,0.0,0.0,0.0008870370007945303,0.0008870370007945303,0.00347127094864845,0.00347127094864845,True
Test,original,38,randomness_0.8659,0.009412657469511032,0.013684233091771603,0.013684233091771603,0.0,0.0,0.0,0.0010738589324913476,0.0010738589324913476,0.004271575622260571,0.004271575622260571,True
Test,original,39,randomness_0.6527,0.016307538375258446,0.01739366017282009,0.01739366017282009,0.0,0.0,0.0,0.00030196697055607597,0.00030196697055607597,0.0010861217975616441,0.0010861217975616441,True
Test,original,40,randomness_0.3073,0.0371292345225811,0.036227117478847506,0.036227117478847506,0.0,0.0,0.0,0.0004818757562414866,0.0004818757562414866,0.000902117043733594,0.000902117043733594,True
Test,original,41,randomness_0.2082,0.03589737415313721,0.03766464963555336,0.03766464963555336,0.0,0.0,0.0,0.0002986247132792836,0.0002986247132792836,0.0017672754824161543,0.0017672754824161543,True
Test,original,42,randomness_0.9019,0.002554831327870488,0.0018761396466288715,0.0018761396466288715,0.0,0.0,0.0,0.0009776922420336135,0.0009776922420336135,0.0006786916812416167,0.0006786916812416167,True
Test,original,43,randomness_0.2102,0.038845494389534,0.03721804246306419,0.03721804246306419,0.0,0.0,0.0,0.000272263632285231,0.000272263632285231,0.0016274519264698056,0.0016274519264698056,True
Test,original,44,randomness_0.7137,0.014563924632966518,0.016224480979144574,0.016224480979144574,0.0,0.0,0.0,0.0006483515215711671,0.0006483515215711671,0.0016605563461780555,0.0016605563461780555,True
