Comparison,Feature,Mean_Standardized_Mean_Difference,Mean_Absolute_Standardized_Mean_Difference,Max_Absolute_Standardized_Mean_Difference,Mean_Normalized_Wasserstein,Mean_KS_Statistic
Prediction_vs_Train,Actual_Stiffness,0.9786579803193914,0.9786579803193914,0.9884962964609182,0.9791109396173099,0.5719807692307691
Prediction_vs_Train,Randomness_Value,-0.9183241119834022,0.9183241119834022,0.938249610418879,0.91847397396701,0.49749999999999994
Prediction_vs_Train,Graph_Density,0.8128971470707818,0.8128971470707818,0.8227682575503884,0.8148619493809093,0.4555769230769231
Prediction_vs_Train,Mean_Degree,0.8114027075018377,0.8114027075018377,0.8201837465926505,0.8133140324065653,0.4555769230769231
Prediction_vs_Train,Mean_Weighted_Degree,0.8114027075018377,0.8114027075018377,0.8201837465926505,0.8133140324065653,0.4555769230769231
Prediction_vs_Train,Edge_Count,0.8082475855995733,0.8082475855995733,0.8159197072507108,0.810105293813115,0.4555769230769231
Prediction_vs_Train,Total_Edge_Weight,0.8082475855995733,0.8082475855995733,0.8159197072507108,0.810105293813115,0.4555769230769231
Prediction_vs_Train,Node_Count,0.3677533820304964,0.3677533820304964,0.3748455920127069,0.3677533820304937,0.145
Prediction_vs_Train,Std_Degree,-0.31670061413130335,0.31670061413130335,0.33575215524434926,0.4662477327063545,0.2803269230769231
Prediction_vs_Train,Std_Weighted_Degree,-0.31670061413130335,0.31670061413130335,0.33575215524434926,0.4662477327063545,0.2803269230769231
Prediction_vs_Train,Mean_Center_Distance,-0.11933461342662843,0.11933461342662843,0.14270153298526508,0.4287607957270474,0.2708076923076923
Prediction_vs_Train,Std_Center_Distance,0.0535595367277699,0.0535595367277699,0.07729417711892846,0.3707651768091993,0.22000000000000003
Prediction_vs_Train,Mean_Edge_Weight,0.0,0.0,0.0,0.0,0.0
Prediction_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0
Test_vs_Train,Std_Center_Distance,-2.7354568673873537e-05,0.11802399264773071,0.16691994099479052,0.14769948777360659,0.08275
Test_vs_Train,Std_Degree,-0.08559554339951923,0.09969116255228185,0.24854717773116083,0.15540096330792824,0.09725
Test_vs_Train,Std_Weighted_Degree,-0.08559554339951923,0.09969116255228185,0.24854717773116083,0.15540096330792824,0.09725
Test_vs_Train,Mean_Center_Distance,0.009623060332357086,0.09536857032554005,0.18727916163480315,0.13814184196468152,0.08375
Test_vs_Train,Node_Count,0.018275914804686554,0.07762908746427095,0.13270930897345334,0.11459887450750397,0.0325
Test_vs_Train,Randomness_Value,-0.04864275814109102,0.05617691007851694,0.16127325561413758,0.0892529363160445,0.07999999999999999
Test_vs_Train,Graph_Density,0.027558373803396697,0.04431165814479758,0.16529013839455128,0.08412545033219002,0.07025
Test_vs_Train,Mean_Degree,0.027766487512960097,0.0437679708562565,0.16635482950056252,0.08353560460622897,0.0695
Test_vs_Train,Mean_Weighted_Degree,0.027766487512960097,0.0437679708562565,0.16635482950056252,0.08353560460622897,0.0695
Test_vs_Train,Edge_Count,0.027883884561289134,0.04317537745174903,0.1669752765578362,0.08522440222022712,0.06925
Test_vs_Train,Total_Edge_Weight,0.027883884561289134,0.04317537745174903,0.1669752765578362,0.08522440222022712,0.06925
Test_vs_Train,Actual_Stiffness,0.01746508862342534,0.0324864072584062,0.11884428245459408,0.08491025733400562,0.08575
Test_vs_Train,Mean_Edge_Weight,0.0,0.0,0.0,0.0,0.0
Test_vs_Train,Std_Edge_Weight,0.0,0.0,0.0,0.0,0.0
