Dataset,Feature,Feature_Bin,Count,Feature_Min,Feature_Max,MAE,RMSE,Bias,Mean_Ensemble_Std
Prediction,Randomness_Value,1,15,0.0061,0.0229,0.0014168276078999089,0.0015304474583325003,-0.0004357905002931627,0.00042074060608189665
Prediction,Randomness_Value,2,15,0.1,0.1889,0.002076077436407407,0.002427070589732433,-0.002076077436407407,0.00038357575187203977
Prediction,Randomness_Value,3,10,0.2333,0.2778,0.0029561433196067842,0.002961328815219748,8.218169212344112e-05,0.00032089730067256107
Prediction,Randomness_Value,4,15,0.3222,0.4111,0.0021174118171135917,0.002387245981530033,-0.0021174118171135917,0.0003989090872883733
Prediction,Randomness_Value,5,10,0.4556,0.5,0.005020059738308199,0.005224056167250424,-0.005020059738308199,0.0004573162893875407
Prediction,Actual_Stiffness,1,15,0.0278264483436942,0.034637825191021,0.0024227508530020913,0.0027460871067844315,-0.000397200845181941,0.00044124858128856355
Prediction,Actual_Stiffness,2,15,0.0364594422280788,0.0366303786635399,0.0019694360593954757,0.002392374125274198,-0.0019694360593954757,0.0003795883980767662
Prediction,Actual_Stiffness,3,10,0.0373946022242308,0.0376368008553982,0.004469247572124031,0.004893141952443565,-0.004469247572124031,0.000402416795268875
Prediction,Actual_Stiffness,4,15,0.0382835615426302,0.0403893996030092,0.00152346898491184,0.001584136078428576,-0.000542431877305094,0.0004247279598771703
Prediction,Actual_Stiffness,5,10,0.041121981292963,0.0427577152848244,0.003048946931958202,0.0030584827106099792,-0.003048946931958202,0.00031228755379094134
Prediction,Edge_Count,1,15,278.0,288.0,0.0034716038530071508,0.0035000403656159306,-0.0014460538451870014,0.00043957871373015667
Prediction,Edge_Count,2,20,291.0,293.0,0.0023036397248506826,0.003343231529431436,-0.0023036397248506826,0.0004000033723047282
Prediction,Edge_Count,3,5,294.0,294.0,0.00248568542301658,0.0024938695782164406,-0.00248568542301658,0.0003485948982243566
Prediction,Edge_Count,4,15,297.0,300.0,0.001990937640269581,0.0021274846278176523,-0.001990937640269581,0.0003278292307745346
Prediction,Edge_Count,5,10,302.0,303.0,0.00234774394892159,0.002515802238087911,-0.0008761882875114709,0.00045763564744489475
Prediction,Graph_Density,1,15,0.03829201101928375,0.03966942148760331,0.0034716038530071508,0.0035000403656159306,-0.0014460538451870014,0.00043957871373015667
Prediction,Graph_Density,2,20,0.04008264462809917,0.04035812672176309,0.0023036397248506826,0.003343231529431436,-0.0023036397248506826,0.0004000033723047282
Prediction,Graph_Density,3,5,0.04049586776859504,0.04049586776859504,0.00248568542301658,0.0024938695782164406,-0.00248568542301658,0.0003485948982243566
Prediction,Graph_Density,4,15,0.04090909090909091,0.04132231404958678,0.001990937640269581,0.0021274846278176523,-0.001990937640269581,0.0003278292307745346
Prediction,Graph_Density,5,10,0.04159779614325069,0.04173553719008265,0.00234774394892159,0.002515802238087911,-0.0008761882875114709,0.00045763564744489475
Prediction,Total_Edge_Weight,1,15,278.0,288.0,0.0034716038530071508,0.0035000403656159306,-0.0014460538451870014,0.00043957871373015667
Prediction,Total_Edge_Weight,2,20,291.0,293.0,0.0023036397248506826,0.003343231529431436,-0.0023036397248506826,0.0004000033723047282
Prediction,Total_Edge_Weight,3,5,294.0,294.0,0.00248568542301658,0.0024938695782164406,-0.00248568542301658,0.0003485948982243566
Prediction,Total_Edge_Weight,4,15,297.0,300.0,0.001990937640269581,0.0021274846278176523,-0.001990937640269581,0.0003278292307745346
Prediction,Total_Edge_Weight,5,10,302.0,303.0,0.00234774394892159,0.002515802238087911,-0.0008761882875114709,0.00045763564744489475
Prediction,Mean_Degree,1,15,4.595041275024414,4.760330677032471,0.0034716038530071508,0.0035000403656159306,-0.0014460538451870014,0.00043957871373015667
Prediction,Mean_Degree,2,20,4.809917449951172,4.84297513961792,0.0023036397248506826,0.003343231529431436,-0.0023036397248506826,0.0004000033723047282
Prediction,Mean_Degree,3,5,4.859504222869873,4.859504222869873,0.00248568542301658,0.0024938695782164406,-0.00248568542301658,0.0003485948982243566
Prediction,Mean_Degree,4,15,4.909090995788574,4.958677768707275,0.001990937640269581,0.0021274846278176523,-0.001990937640269581,0.0003278292307745346
Prediction,Mean_Degree,5,10,4.991735458374023,5.008264541625977,0.00234774394892159,0.002515802238087911,-0.0008761882875114709,0.00045763564744489475
Prediction,Std_Degree,1,15,1.246537446975708,1.2952289581298828,0.002793331146240244,0.0029974256467897916,-0.002793331146240244,0.0003954224754198971
Prediction,Std_Degree,2,15,1.30479097366333,1.3130875825881958,0.0034663141518831253,0.004126873605249142,-0.0034663141518831253,0.00034842454308390127
Prediction,Std_Degree,3,10,1.3174498081207275,1.3210221529006958,0.0021697783656418356,0.002605150816149165,-0.0021697783656418356,0.00039199478482626886
Prediction,Std_Degree,4,15,1.3391491174697876,1.3624587059020996,0.0015332862921059445,0.001719683997026971,-0.0005522491844991984,0.0004552675754381415
Prediction,Std_Degree,5,10,1.372697114944458,1.4026232957839966,0.0025325025990605376,0.0025907157540714927,0.0005058224126696875,0.00039238508218438753
Prediction,Mean_Weighted_Degree,1,15,4.595041275024414,4.760330677032471,0.0034716038530071508,0.0035000403656159306,-0.0014460538451870014,0.00043957871373015667
Prediction,Mean_Weighted_Degree,2,20,4.809917449951172,4.84297513961792,0.0023036397248506826,0.003343231529431436,-0.0023036397248506826,0.0004000033723047282
Prediction,Mean_Weighted_Degree,3,5,4.859504222869873,4.859504222869873,0.00248568542301658,0.0024938695782164406,-0.00248568542301658,0.0003485948982243566
Prediction,Mean_Weighted_Degree,4,15,4.909090995788574,4.958677768707275,0.001990937640269581,0.0021274846278176523,-0.001990937640269581,0.0003278292307745346
Prediction,Mean_Weighted_Degree,5,10,4.991735458374023,5.008264541625977,0.00234774394892159,0.002515802238087911,-0.0008761882875114709,0.00045763564744489475
Prediction,Std_Weighted_Degree,1,15,1.246537446975708,1.2952289581298828,0.002793331146240244,0.0029974256467897916,-0.002793331146240244,0.0003954224754198971
Prediction,Std_Weighted_Degree,2,15,1.30479097366333,1.3130875825881958,0.0034663141518831253,0.004126873605249142,-0.0034663141518831253,0.00034842454308390127
Prediction,Std_Weighted_Degree,3,10,1.3174498081207275,1.3210221529006958,0.0021697783656418356,0.002605150816149165,-0.0021697783656418356,0.00039199478482626886
Prediction,Std_Weighted_Degree,4,15,1.3391491174697876,1.3624587059020996,0.0015332862921059445,0.001719683997026971,-0.0005522491844991984,0.0004552675754381415
Prediction,Std_Weighted_Degree,5,10,1.372697114944458,1.4026232957839966,0.0025325025990605376,0.0025907157540714927,0.0005058224126696875,0.00039238508218438753
Prediction,Mean_Center_Distance,1,15,135.73553466796875,135.8992919921875,0.0025659352913498966,0.0027897003864975445,-0.0005403852835297467,0.0003954230133406133
Prediction,Mean_Center_Distance,2,15,135.96279907226562,135.97752380371094,0.0011968956825634106,0.001268013475698727,-0.00021585857495666448,0.0004036379093848486
Prediction,Mean_Center_Distance,3,10,135.9912567138672,135.9922332763672,0.0024503209069370964,0.0024918399542355574,-0.0024503209069370964,0.0003229649738734668
Prediction,Mean_Center_Distance,4,15,135.99363708496094,136.20278930664062,0.004488639583190287,0.004714219624529353,-0.004488639583190287,0.00043312048442631194
Prediction,Mean_Center_Distance,5,10,136.22906494140625,136.73204040527344,0.0015641516074538571,0.001824160592954302,-0.0015641516074538571,0.0004118146733224388
Prediction,Std_Center_Distance,1,15,50.62565231323242,50.69256591796875,0.0038696236411730517,0.004403720623641388,-0.0038696236411730517,0.00042313606778428086
Prediction,Std_Center_Distance,2,15,50.83308792114258,50.85953140258789,0.0014168276078999089,0.0015304474583325003,-0.0004357905002931627,0.00042074060608189665
