Dataset,Feature,Pearson_Abs_Error,Spearman_Abs_Error,Pearson_Signed_Residual,Spearman_Signed_Residual
Prediction,Randomness_Value,0.4897204258851363,0.41661356894186874,-0.4077415905405112,-0.41661356894186874
Prediction,Actual_Stiffness,-0.07885211258047307,-0.01994310088043664,-0.24221753414391592,-0.1645853710022848
Prediction,Edge_Count,-0.3129980562345702,-0.330260315658363,0.15984767034785033,0.1563460510727948
Prediction,Graph_Density,-0.31299805623457116,-0.330260315658363,0.1598476703478511,0.1563460510727948
Prediction,Total_Edge_Weight,-0.3129980562345702,-0.330260315658363,0.15984767034785033,0.1563460510727948
Prediction,Mean_Degree,-0.3129976499017393,-0.330260315658363,0.1598474336956499,0.1563460510727948
Prediction,Std_Degree,-0.034232508352727675,-0.12448001428668144,0.46698300102095486,0.4470761076493488
Prediction,Mean_Weighted_Degree,-0.3129976499017393,-0.330260315658363,0.1598474336956499,0.1563460510727948
Prediction,Std_Weighted_Degree,-0.034232508352727675,-0.12448001428668144,0.46698300102095486,0.4470761076493488
Prediction,Mean_Center_Distance,-0.02747759286569635,0.12448001428668144,-0.1728232276368365,-0.38111046627559686
Prediction,Std_Center_Distance,-0.11425012186229531,0.04032451167033343,0.26486829796835204,0.12710987374344232
Test,Randomness_Value,0.17260553065158538,0.14564814303322263,0.05165891743127998,0.0836388594797314
Test,Actual_Stiffness,-0.15629422426983713,-0.15375031194289407,-0.2694204954142664,-0.3131127273052282
Test,Node_Count,-0.03980030044956454,-0.04664143691097869,-0.057573437661455125,-0.05523539885298336
Test,Edge_Count,-0.16974197198311905,-0.17547333057478054,-0.04310246718799913,-0.0607965651615843
Test,Graph_Density,-0.17440075866769192,-0.17664171126387956,-0.03909413470268322,-0.05925472018375626
Test,Total_Edge_Weight,-0.16974197198311905,-0.17547333057478054,-0.04310246718799913,-0.0607965651615843
Test,Mean_Degree,-0.17216635908608585,-0.17575201226072662,-0.04122333746623645,-0.060134270844603356
Test,Std_Degree,0.113825765020605,0.07709777495320294,-0.08680003130487937,-0.08373975605351179
Test,Mean_Weighted_Degree,-0.17216635908608585,-0.17575201226072662,-0.04122333746623645,-0.060134270844603356
Test,Std_Weighted_Degree,0.113825765020605,0.07709777495320294,-0.08680003130487937,-0.08373975605351179
Test,Mean_Center_Distance,0.021336810742663463,0.04010293960817814,0.0012864119814250756,-0.0004098748986372172
Test,Std_Center_Distance,-0.05313575079207874,-0.04914164117111228,0.020736827310607317,0.0042328617316401565
