Dataset,Sample_ID,Split_Count,Mean_Predicted_Stiffness,Std_Predicted_Across_Splits,Mean_Residual,Mean_Absolute_Error,Max_Absolute_Error,Mean_Ensemble_Std,Randomness_Value,Actual_Stiffness,Node_Count,Edge_Count,Graph_Density,Total_Edge_Weight,Mean_Edge_Weight,Std_Edge_Weight,Mean_Degree,Std_Degree,Mean_Weighted_Degree,Std_Weighted_Degree,Mean_Center_Distance,Std_Center_Distance
Prediction,randomness_0.4556,5,0.031183991134166717,0.0001855315402885457,-0.006452809721231484,0.006452809721231484,0.006773942708969138,0.00045623869231339344,0.4556,0.0376368008553982,121.0,291.0,0.04008264462809917,291.0,1.0,0.0,4.809917449951172,1.3130875825881958,4.809917449951172,1.3130875825881958,136.20278930664062,50.63388442993164
Prediction,randomness_0.1000,5,0.032670265436172484,0.0005071267013522284,-0.0037891767919063153,0.0037891767919063153,0.00426648110151287,0.00047002484574530006,0.1,0.0364594422280788,121.0,288.0,0.03966942148760331,288.0,1.0,0.0,4.760330677032471,1.2858080863952637,4.760330677032471,1.2858080863952637,135.99363708496094,50.69256591796875
Prediction,randomness_0.5000,5,0.02423913858830929,0.00024094484773908224,-0.003587309755384914,0.003587309755384914,0.0038166267797350786,0.0004583938864616881,0.5,0.0278264483436942,121.0,278.0,0.03829201101928375,278.0,1.0,0.0,4.595041275024414,1.3210221529006958,4.595041275024414,1.3210221529006958,135.8992919921875,51.231910705566406
Prediction,randomness_0.3222,5,0.03953378304839134,0.00024486559095454,-0.0032239322364330607,0.0032239322364330607,0.003597015887498889,0.0003730979152202423,0.3222,0.0427577152848244,121.0,303.0,0.04173553719008265,303.0,1.0,0.0,5.008264541625977,1.2952289581298828,5.008264541625977,1.2952289581298828,136.2012939453125,51.18830490112305
Prediction,randomness_0.2778,5,0.032839292138814924,0.00022525329025033296,0.003038325011730225,0.003038325011730225,0.003251352161169084,0.00039031740898348184,0.2778,0.0298009671270847,121.0,288.0,0.03966942148760331,288.0,1.0,0.0,4.760330677032471,1.4026232957839966,4.760330677032471,1.4026232957839966,135.87547302246094,51.20341873168945
Prediction,randomness_0.2333,5,0.03824801966547966,9.533595029246674e-05,-0.002873961627483343,0.002873961627483343,0.0029780872166156533,0.0002514771923616404,0.2333,0.041121981292963,121.0,300.0,0.04132231404958678,300.0,1.0,0.0,4.958677768707275,1.3073011636734009,4.958677768707275,1.3073011636734009,135.9922332763672,50.86994171142578
Prediction,randomness_0.3667,5,0.03490891680121422,0.0002257029324032265,-0.00248568542301658,0.00248568542301658,0.0027453463524580307,0.00034859489822435663,0.3667,0.0373946022242308,121.0,294.0,0.04049586776859504,294.0,1.0,0.0,4.859504222869873,1.3624587059020996,4.859504222869873,1.3624587059020996,136.22906494140625,51.256717681884766
Prediction,randomness_0.0153,5,0.03836271941661835,0.00023498283490194584,-0.00202668018639085,0.00202668018639085,0.0023805055767297453,0.00039445275538529327,0.0153,0.0403893996030092,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.372697114944458,4.909090995788574,1.372697114944458,135.9912567138672,50.83308792114258
Prediction,randomness_0.0061,5,0.04059529021382332,0.0002533262384974706,0.0014715556614101192,0.0014715556614101192,0.001780330669134883,0.0005421733796695473,0.0061,0.0391237345524132,121.0,302.0,0.04159779614325069,302.0,1.0,0.0,4.991735458374023,1.3391491174697876,4.991735458374023,1.3391491174697876,135.9744873046875,50.833946228027344
Prediction,randomness_0.1444,5,0.03521516755223274,0.0003162265569097065,-0.0013668844103813555,0.0013668844103813555,0.0017589233815670374,0.00034314466529414907,0.1444,0.0365820519626141,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.246537446975708,4.84297513961792,1.246537446975708,135.96279907226562,50.62565231323242
Prediction,randomness_0.1889,5,0.03721139043569564,0.00011450396939982872,-0.001072171106934551,0.001072171106934551,0.0011931154876947403,0.00033755774457667006,0.1889,0.0382835615426302,121.0,297.0,0.04090909090909091,297.0,1.0,0.0,4.909090995788574,1.30479097366333,4.909090995788574,1.30479097366333,135.73553466796875,51.08343505859375
Prediction,randomness_0.0229,5,0.035878131687641146,0.0003400573852585756,-0.0007522469758987571,0.0007522469758987571,0.0011242799460888034,0.00032559568319084957,0.0229,0.0366303786635399,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.3174498081207275,4.84297513961792,1.3174498081207275,135.97752380371094,50.85953140258789
Prediction,randomness_0.4111,5,0.03399520739912987,0.00016874773393403607,-0.0006426177918911341,0.0006426177918911341,0.0008179329335689933,0.0004750344484205209,0.4111,0.034637825191021,121.0,293.0,0.04035812672176309,293.0,1.0,0.0,4.84297513961792,1.3423075675964355,4.84297513961792,1.3423075675964355,136.73204040527344,50.95869064331055
Test,randomness_0.5866,1,0.021976275742053984,,0.009009733796119685,0.009009733796119685,0.009009733796119685,0.0002978824397163821,0.5866,0.0129665419459343,121.0,275.0,0.03787878787878788,275.0,1.0,0.0,4.545454502105713,1.3666633367538452,4.545454502105713,1.3666633367538452,136.13821411132812,51.422298431396484
Test,randomness_0.7938,1,0.011510839872062206,,-0.007951154254585195,0.007951154254585195,0.007951154254585195,0.0002943539252564722,0.7938,0.0194619941266474,120.0,256.0,0.035854341736694675,256.0,1.0,0.0,4.266666889190674,1.3337498903274536,4.266666889190674,1.3337498903274536,137.07449340820312,50.40814971923828
Test,randomness_0.8208,1,0.00864320881664753,,0.00769310262268463,0.00769310262268463,0.00769310262268463,0.0005822684915403331,0.8208,0.0009501061939629,120.0,250.0,0.0350140056022409,250.0,1.0,0.0,4.166666507720947,1.3864423036575317,4.166666507720947,1.3864423036575317,136.17831420898438,50.805908203125
Test,randomness_0.4825,1,0.029073110595345498,,0.007409006188390799,0.007409006188390799,0.007409006188390799,0.00022260329955704072,0.4825,0.0216641044069547,121.0,286.0,0.03939393939393939,286.0,1.0,0.0,4.7272725105285645,1.4024771451950073,4.7272725105285645,1.4024771451950073,136.1580047607422,50.97964859008789
Test,randomness_0.8849,1,0.008692393079400063,,0.007116446536038563,0.007116446536038563,0.007116446536038563,0.0011889803250713362,0.8849,0.0015759465433615,121.0,250.0,0.03443526170798898,250.0,1.0,0.0,4.13223123550415,1.2658394575119019,4.13223123550415,1.2658394575119019,137.21739196777344,51.43724060058594
Test,randomness_0.5335,1,0.022914189472794534,,-0.0070740409195422654,0.0070740409195422654,0.0070740409195422654,0.00028904088266302113,0.5335,0.0299882303923368,121.0,277.0,0.03815426997245179,277.0,1.0,0.0,4.578512191772461,1.244837760925293,4.578512191772461,1.244837760925293,136.27093505859375,51.30731964111328
