Dataset,Split_Seed,Count,MAE,RMSE,Bias,R2,Mean_Ensemble_Std
Prediction,11,13,0.0025515422296638777,0.0029596537533147955,-0.0018451336126488007,0.4579638318636038,0.00027842781887058943
Prediction,42,13,0.0026434229042094593,0.0030453438419166486,-0.0018898628867016402,0.4261225983790703,0.0004978651048439249
Prediction,73,13,0.0025073930406226664,0.002988805521910149,-0.0017866747238888202,0.447233433281674,0.00039503469114764145
Prediction,101,13,0.0023136975458608318,0.0027829755703882553,-0.001638669054955245,0.5207465568938264,0.0004915357366138491
Prediction,202,13,0.0025929276258326605,0.003017003436126746,-0.0019795040886562633,0.4367540686492274,0.00032409953923443087
Test,11,100,0.0023419428871221,0.00294826658151205,-7.704643184593447e-05,0.9392534809848431,0.00031450604409502113
Test,42,100,0.0022423967536198087,0.002824992257805006,0.00013273407462960753,0.9533742781577291,0.0005484093254500982
Test,73,100,0.002297219253374643,0.002818550387425245,7.640709304478524e-05,0.9449314051843412,0.0005195435616416347
Test,101,100,0.0021710920671663015,0.00269900884785104,0.00047835066565255597,0.952399810918782,0.00045412221810398724
Test,202,100,0.0025240744474353464,0.0031349543531878736,1.8898237582055684e-05,0.93819583942227,0.000372431419575076
