Dataset,Uncertainty_Bin,Count,Mean_Ensemble_Std,MAE,RMSE
Prediction,1,13,0.00019730069009985307,0.0023281932450257875,0.0025250967029510876
Prediction,2,13,0.0002937436068877847,0.002724873733062021,0.003149660888082816
Prediction,3,13,0.00036825143806439785,0.002671029182294247,0.0032429417228111834
Prediction,4,13,0.00047450952846630416,0.002054190750305492,0.002276409894974659
Prediction,5,13,0.0006531576271920959,0.0028306964355019485,0.003437833702366629
Test,1,100,0.00022347024105780778,0.0023282198686493576,0.002854303828315407
Test,2,100,0.0003164197959703855,0.002359742933075142,0.003042318654477068
Test,3,100,0.0003884026891586738,0.0023543529594735263,0.002908420988979349
Test,4,100,0.0005032809036045277,0.002033839489937321,0.002556978354380978
Test,5,100,0.0007774389390744224,0.002500570157582852,0.0030544830728783164
