Dataset,Member_Seed,Mean_Signed_Deviation,Mean_Absolute_Deviation,Max_Absolute_Deviation,Deviation_Std
Prediction,11,8.5993913503794e-05,0.0003787511816391576,0.0010348804295063005,0.0004901738944362723
Prediction,42,-0.0001347675059850395,0.00025472552157365446,0.0005681660026311888,0.0002807803879557027
Prediction,73,-0.0002460763144951596,0.0002798126580623482,0.0007654361426830264,0.00025427595898113174
Prediction,101,-0.00014325916193998734,0.0002979666854326539,0.0009793676435947418,0.00037472404023100874
Prediction,202,0.00043810906891639457,0.0004393472407872867,0.0010099440813064603,0.0003429058341731248
Test,11,8.395115653547681e-05,0.0005719781383450028,0.0022106465650722383,0.0007253084489040162
Test,42,-0.0001758931684016717,0.00041662586919846944,0.0014186532236635683,0.0005022601030605357
Test,73,-9.099338662054026e-06,0.0002910022895157454,0.0012151991948485368,0.00036684407336251795
Test,101,-8.26695763898898e-05,0.00043858030183037037,0.0017464566975831982,0.000559476113084616
Test,202,0.00018371092691813818,0.00045815089741518025,0.0010812545660883188,0.0004935274341370246
Validation,11,3.927954495884502e-05,0.000581182110356167,0.0020205097272992132,0.0007401987676106393
Validation,42,-5.9110066853463413e-05,0.0004638640936464072,0.0014350507408380508,0.000598121279142016
Validation,73,-3.909329278394556e-05,0.00030440455710049706,0.0013368921587243675,0.00040789992022583524
Validation,101,-0.0001372974229743702,0.0004549122519092634,0.0014292806386947618,0.0005449261233110253
Validation,202,0.0001962212376529353,0.0004073729977244513,0.001194838434457779,0.00044415878167051033
