Dataset,Sample_Index,Sample_ID,Member_Seed,Member_Prediction,Ensemble_Mean,Signed_Deviation,Absolute_Deviation,Standardized_Deviation
Validation,0,Validation_0000,11,0.027741940692067146,0.027684395015239716,5.754567682743003e-05,5.754567682743003e-05,0.3968154395168087
Validation,1,Validation_0001,11,0.02411607839167118,0.023150017857551573,0.0009660605341196074,0.0009660605341196074,1.2128945307669425
Validation,2,Validation_0002,11,0.01780843362212181,0.017388030886650085,0.00042040273547172546,0.00042040273547172546,1.5234299672263596
Validation,3,Validation_0003,11,0.0031870093662291765,0.0035905908793210984,-0.0004035815130919219,0.0004035815130919219,-1.0953254068552711
Validation,4,Validation_0004,11,0.0014618608402088284,0.003029663092456758,-0.0015678022522479297,0.0015678022522479297,-1.4347276837359713
Validation,5,Validation_0005,11,0.007825986482203007,0.0084675844758749,-0.0006415979936718937,0.0006415979936718937,-0.7389908626478711
Validation,6,Validation_0006,11,0.010902998968958855,0.011850211769342422,-0.0009472128003835678,0.0009472128003835678,-1.125153192169548
Validation,7,Validation_0007,11,0.02396250329911709,0.0243849728256464,-0.00042246952652931144,0.00042246952652931144,-1.1221573468636266
Validation,8,Validation_0008,11,0.00040459554293192923,0.0005515243334230036,-0.00014692879049107435,0.00014692879049107435,-0.3517098900006788
Validation,9,Validation_0009,11,0.007729287259280682,0.007669552974402904,5.973428487777727e-05,5.973428487777727e-05,0.0859313927938453
Validation,10,Validation_0010,11,0.03432907909154892,0.033912298083305356,0.00041678100824356357,0.00041678100824356357,0.6396460916973353
Validation,11,Validation_0011,11,0.0276710856705904,0.027433013916015624,0.00023807175457477708,0.00023807175457477708,0.6048657138101922
Validation,12,Validation_0012,11,0.021122148260474205,0.020901021361351014,0.00022112689912319114,0.00022112689912319114,0.9055732165524231
Validation,13,Validation_0013,11,0.032332710921764374,0.03198819383978844,0.0003445170819759355,0.0003445170819759355,0.668306734134733
Validation,14,Validation_0014,11,0.038915544748306274,0.03927094340324402,-0.00035539865493774275,0.00035539865493774275,-0.6945866755121091
Validation,15,Validation_0015,11,0.03902777284383774,0.03824126496911049,0.0007865078747272478,0.0007865078747272478,1.4729931002284014
Validation,16,Validation_0016,11,0.019763581454753876,0.021469100192189217,-0.0017055187374353416,0.0017055187374353416,-1.7586111890462826
Validation,17,Validation_0017,11,0.035879943519830704,0.035247181355953214,0.00063276216387749,0.00063276216387749,1.5906706034689948
Validation,18,Validation_0018,11,0.017415601760149002,0.017688215151429175,-0.00027261339128017287,0.00027261339128017287,-0.5582470975259093
