Dataset,Sample_ID,Control_Absolute_Error,Adapted_Absolute_Error,Absolute_Error_Reduction,Adapted_Improved
Train,randomness_0.6707,0.004791065,0.0054791095,-0.00068804435,False
Train,randomness_0.5055,0.0035017077,0.003121078,0.00038062967,True
Train,randomness_0.6126,0.0009898618,2.410449e-05,0.0009657573,True
Train,randomness_0.4374,0.0038575977,0.0032893606,0.00056823716,True
Train,randomness_0.9960,0.00042140484,6.187521e-05,0.00035952963,True
Train,randomness_0.3193,0.0015466623,0.0011249147,0.00042174757,True
Train,randomness_0.7698,0.0019233143,0.0011666454,0.00075666886,True
Train,randomness_0.2943,0.00038576126,0.00068990514,-0.00030414388,False
Train,randomness_0.8458,0.0019415924,0.00092271157,0.0010188809,True
Train,randomness_0.2823,0.0017419979,0.0014968179,0.00024517998,True
Train,randomness_0.9750,0.0022521077,0.0031620192,-0.00090991147,False
Train,randomness_0.8949,0.002051406,0.001290136,0.00076127006,True
Train,randomness_0.8749,0.0045925807,0.0040447554,0.00054782536,True
Train,randomness_0.5816,0.002023939,0.0024745744,-0.00045063533,False
Train,randomness_0.9349,0.0018311514,0.0011190064,0.000712145,True
Train,randomness_0.5656,0.0043290425,0.0034941677,0.0008348748,True
Train,randomness_0.9079,0.00026076473,0.00076645054,-0.0005056858,False
Train,randomness_0.9860,0.0040285345,0.0035694577,0.00045907684,True
Train,randomness_0.1702,0.00521297,0.0051412247,7.1745366e-05,True
Train,randomness_0.9920,0.0014113635,0.0019202138,-0.0005088503,False
Train,randomness_0.4254,0.0005281009,0.0011937171,-0.00066561624,False
Train,randomness_0.3914,0.0014708005,0.001136031,0.0003347695,True
Train,randomness_0.3013,0.001063887,0.001419872,-0.00035598502,False
Train,randomness_0.5405,0.0012062341,0.001996046,-0.00078981183,False
Train,randomness_0.8839,0.001124151,0.0015647637,-0.00044061267,False
Train,randomness_0.1491,0.0002255477,0.0002757907,-5.024299e-05,False
Train,randomness_0.3614,0.00081078336,0.0011940636,-0.00038328022,False
Train,randomness_0.9299,0.0024890336,0.001916084,0.00057294965,True
Train,randomness_0.5285,0.000113058835,0.0007939618,-0.000680903,False
Train,randomness_0.2252,0.00071565434,0.0005986579,0.00011699647,True
Train,randomness_0.6827,0.0050990535,0.004353457,0.00074559636,True
Train,randomness_0.8438,0.0033731973,0.0027659815,0.0006072158,True
Train,randomness_0.4635,0.0011764467,0.00075535476,0.0004210919,True
Train,randomness_0.1331,0.003964372,0.004120901,-0.00015652925,False
Train,randomness_0.8899,0.0025644137,0.0029496646,-0.0003852509,False
Train,randomness_0.3884,0.0023781285,0.001729928,0.0006482005,True
Train,randomness_0.7037,0.003818687,0.0031152908,0.0007033963,True
Train,randomness_0.9580,0.001323028,0.002140854,-0.000817826,False
Train,randomness_0.5866,0.0077328477,0.008378904,-0.0006460566,False
Train,randomness_0.3303,0.005000379,0.004674617,0.00032576174,True
Train,randomness_0.3463,0.0015193522,0.0017684437,-0.00024909154,False
Train,randomness_0.1151,0.0026669279,0.0025411807,0.00012574717,True
Train,randomness_0.7578,0.0061319005,0.0071100257,-0.0009781253,False
Train,randomness_0.4074,0.0025411285,0.0020561926,0.00048493594,True
Train,randomness_0.8098,0.0014859233,0.001085897,0.00040002633,True
Train,randomness_0.3714,0.0052112676,0.0046753846,0.000535883,True
Train,randomness_0.9950,0.0009249635,0.0002833549,0.0006416086,True
Train,randomness_0.2543,0.0018493384,0.0016841218,0.00016521662,True
Train,randomness_0.6136,0.0045335647,0.0051831864,-0.0006496217,False
Train,randomness_0.0861,0.00022388622,0.00043261424,-0.00020872802,False
Train,randomness_0.0841,0.0023628958,0.0026398338,-0.00027693808,False
Train,randomness_0.7738,0.0063501466,0.0054716785,0.00087846816,True
Train,randomness_0.5045,0.0013776049,0.00087170675,0.00050589815,True
Train,randomness_0.6186,0.0028245095,0.003619168,-0.00079465844,False
Train,randomness_0.5305,0.0040864293,0.0034196153,0.0006668139,True
Train,randomness_0.1852,0.0038202144,0.003730189,9.0025365e-05,True
Train,randomness_0.1471,0.001681611,0.0015345477,0.00014706329,True
Train,randomness_0.5125,7.593632e-05,0.000560984,-0.0004850477,False
Train,randomness_0.4114,0.003799731,0.0034089964,0.00039073452,True
Train,randomness_0.1532,0.0008560382,0.0008254461,3.0592084e-05,True
Train,randomness_0.4204,6.4872205e-05,0.00037693605,-0.00031206384,False
Train,randomness_0.7497,0.0031531868,0.0037390846,-0.0005858978,False
Train,randomness_0.7938,0.007125075,0.0062066177,0.0009184573,True
Train,randomness_0.4605,0.00022751465,0.00034516305,-0.00011764839,False
Train,randomness_0.5876,0.0010876413,0.0018033013,-0.00071565993,False
Train,randomness_0.5646,0.0029937383,0.0026851855,0.00030855276,True
Train,randomness_0.0160,0.001168415,0.0006174557,0.00055095926,True
Train,randomness_0.1201,0.0031988919,0.002944868,0.00025402382,True
Train,randomness_0.8348,0.0016736556,0.0009740284,0.0006996272,True
Train,randomness_0.5626,0.0025834218,0.0018651728,0.000718249,True
Train,randomness_0.4224,0.0018189624,0.0022188108,-0.00039984845,False
Train,randomness_0.4675,0.0022909194,0.0016057938,0.0006851256,True
Train,randomness_0.1712,0.00027162582,0.00032581761,-5.4191798e-05,False
Train,randomness_0.5445,0.001497006,0.0010561775,0.0004408285,True
Train,randomness_0.6767,0.0044104178,0.0051762667,-0.0007658489,False
Train,randomness_0.9980,0.00073599257,0.00014618969,0.00058980286,True
Train,randomness_0.6787,0.0040741274,0.0032039564,0.000870171,True
Train,randomness_0.8799,0.002312168,0.0028430563,-0.0005308883,False
Train,randomness_0.0741,0.00011539832,0.00033445284,-0.00021905452,False
Train,randomness_0.1552,0.0017518848,0.0017342567,1.7628074e-05,True
Train,randomness_0.0280,0.00039857626,0.00063705444,-0.00023847818,False
Train,randomness_0.4334,0.0006466191,0.00022890605,0.00041771308,True
Train,randomness_0.3403,0.00022151321,0.00033044815,-0.00010893494,False
Train,randomness_0.7788,0.0033911862,0.002783548,0.00060763815,True
Train,randomness_0.4034,0.0023828112,0.0017000996,0.0006827116,True
Train,randomness_0.6917,0.0034339512,0.004052774,-0.0006188229,False
Train,randomness_0.1952,0.0013835281,0.0014778264,-9.429827e-05,False
Train,randomness_0.3874,5.595386e-05,0.0004042033,-0.00034824945,False
Train,randomness_0.4154,0.0035705157,0.0028544106,0.0007161051,True
Train,randomness_0.0791,0.0009736307,0.0011662841,-0.00019265339,False
Train,randomness_0.1211,0.0022259168,0.0020931214,0.00013279542,True
Train,randomness_0.5175,0.002811417,0.002244886,0.000566531,True
Train,randomness_0.6997,0.0008223541,0.00026480854,0.0005575456,True
Train,randomness_0.9510,0.0034251288,0.0027060716,0.00071905716,True
Train,randomness_0.4685,0.0030543413,0.0038236082,-0.00076926686,False
Train,randomness_0.1522,0.0013899244,0.0013831891,6.735325e-06,True
Train,randomness_0.7297,0.0011528824,0.00032993127,0.0008229511,True
Train,randomness_0.4755,0.0019676238,0.0015782584,0.00038936548,True
Train,randomness_0.9630,0.0019145464,0.0021704766,-0.00025593024,False
Train,randomness_0.5265,0.004638521,0.004074402,0.00056411885,True
Train,randomness_0.8879,0.0007550018,0.001528522,-0.0007735202,False
Train,randomness_0.6697,0.004452545,0.0034411494,0.0010113958,True
