Variant,Partition_Seed,Uses_Domain_Weights,Seed,OOD_Fraction,Validation_Fraction,Weight_Strength,Epochs_Completed,Best_Epoch,Best_Validation_Loss,Train_RMSE,Train_MAE,Train_R2,Validation_RMSE,Validation_MAE,Validation_R2,OOD_Holdout_RMSE,OOD_Holdout_MAE,OOD_Holdout_R2,Prediction_RMSE,Prediction_MAE,Prediction_R2,Train_Bias,Validation_Bias,OOD_Holdout_Bias,Prediction_Bias
control,42,False,11,0.1,0.1,0.0,307,7,0.049066131114959714,0.0029002553075092655,0.002306160284206271,0.9439193606376648,0.002712818161975771,0.0021922201849520206,0.94715416431427,0.002485429787534788,0.0021053990349173546,0.3420467972755432,0.003256587919563515,0.0028499572072178125,0.3437459468841553,-0.0003777653619181365,-0.00018829372129403055,-0.0003269183507654816,-0.002324154833331704
domain_weighted,42,True,11,0.1,0.1,2.0,307,7,0.047682459503412246,0.002912460312768701,0.0023168600164353848,0.9434463977813721,0.0026742940894139136,0.002157271374017,0.9486443996429443,0.0024781058745613265,0.002100506331771612,0.3459187150001526,0.003214264317812873,0.0028016576543450356,0.36069291830062866,-0.00037388817872852087,-0.00018222315702587366,-0.00024589739041402936,-0.0022617909125983715
control,42,False,42,0.1,0.1,0.0,320,20,0.05108633786439896,0.002768776382410052,0.0021913843229413033,0.9488887786865234,0.0027681027470127847,0.0022706137970089912,0.9449783563613892,0.0024831486274066897,0.0021227675024420023,0.343254029750824,0.0031586706910019455,0.0026548129972070456,0.38261646032333374,-0.0004237702814862132,-0.00013286768808029592,0.00012266026169527322,-0.0019289653282612562
domain_weighted,42,True,42,0.1,0.1,2.0,308,8,0.049808017760515216,0.002855131122584338,0.002281428314745426,0.9456508755683899,0.0027332503896396803,0.002201874740421772,0.9463551640510559,0.002412775382605785,0.002046649344265461,0.3799513578414917,0.002902525290243212,0.002451905282214284,0.47868722677230835,2.7142423277837224e-05,0.0003112411068286747,8.555442036595196e-05,-0.0017084176652133465
control,42,False,73,0.1,0.1,0.0,305,5,0.04787561483681202,0.0028671678674092958,0.0022800008300691843,0.9451916813850403,0.0026797049383584038,0.0021253416780382395,0.9484363794326782,0.002463021647230301,0.0021048292983323336,0.35385727882385254,0.002884790876718063,0.002465791068971157,0.485038161277771,1.900635106721893e-05,0.00021143675257917494,7.023911894066259e-05,-0.0018197627505287528
domain_weighted,42,True,73,0.1,0.1,2.0,309,9,0.045916871577501295,0.0029193039444285274,0.002343822969123721,0.94318026304245,0.002624314877425128,0.0021384870633482933,0.9505460262298584,0.0025181694027034416,0.0021073762327432632,0.3245987296104431,0.0034747758121177466,0.0030176008585840464,0.2528635263442993,-0.00041213713120669127,-0.0002445599820930511,-0.0005372453015297651,-0.0025111311115324497
control,42,False,101,0.1,0.1,0.0,306,6,0.04883412830531597,0.0028545463688823647,0.002268895274028182,0.9456731677055359,0.0027063972402717362,0.002181687857955694,0.9474040269851685,0.0025452394590656,0.002133046742528677,0.3099997043609619,0.002776363132358032,0.002225116826593876,0.523021399974823,-1.1010310117853805e-05,0.00021098327124491334,0.0005637332214973867,-0.0014317028690129519
domain_weighted,42,True,101,0.1,0.1,2.0,307,7,0.048457076102495195,0.002858957975952852,0.002272474579513073,0.9455050826072693,0.002695928665201933,0.0021862881258130074,0.947810173034668,0.002488910917075906,0.0021199272014200687,0.3402024507522583,0.002941232863833682,0.002465139841660857,0.4646902084350586,-0.0002734172740019858,-2.5812229068833403e-05,0.00021850205666851252,-0.0017908943118527532
control,42,False,202,0.1,0.1,0.0,310,10,0.047970196157693865,0.002846530927340087,0.002270981902256608,0.9459778070449829,0.0026823507907273,0.002151915803551674,0.9483345150947571,0.0024570008938314047,0.0020799082703888416,0.35701239109039307,0.0029245811095443526,0.002471424639225006,0.4707343578338623,-7.682895375182852e-05,0.00019341912411618978,3.4488217352190986e-05,-0.0017874378245323896
domain_weighted,42,True,202,0.1,0.1,2.0,312,12,0.04710115373134613,0.0028626651819063957,0.002291075885295868,0.9453637003898621,0.002657942417237811,0.0021421262063086033,0.9492705464363098,0.0025078756109213436,0.0021003736183047295,0.33010923862457275,0.0032123911705912137,0.0028084428049623966,0.3614377975463867,-0.00027782152756117284,-1.5036221157060936e-05,-0.0005485453875735402,-0.0022906563244760036
