Seed,Dataset,Sample_Count,Improved_Count,Worsened_Count,Mean_Absolute_Error_Reduction,Median_Absolute_Error_Reduction
11,OOD_Holdout,100,52,48,4.892703145742416e-06,1.043081283569336e-06
11,Prediction,13,11,2,4.829967824312357e-05,5.241110920906067e-05
11,Train,800,386,414,-1.0699486301746219e-05,-7.263850420713425e-06
11,Validation,100,62,38,3.4948650281876325e-05,5.4960139095783234e-05
42,OOD_Holdout,100,59,41,7.61180929839611e-05,8.033774793148041e-05
42,Prediction,13,8,5,0.0002029075358922665,0.00026431307196617126
42,Train,800,365,435,-9.004400359117425e-05,-7.717311382293701e-05
42,Validation,100,52,48,6.873911363072693e-05,2.4019740521907806e-05
73,OOD_Holdout,100,49,51,-2.5466829538345337e-06,-0.0001727566123008728
73,Prediction,13,2,11,-0.0005518099149832359,-0.0007062666118144989
73,Train,800,365,435,-6.382231513271108e-05,-0.00014129886403679848
73,Validation,100,47,53,-1.3145158300176263e-05,-0.00010376237332820892
101,OOD_Holdout,100,52,48,1.3119950890541077e-05,0.00010115280747413635
101,Prediction,13,2,11,-0.00024002288969663472,-0.00034698471426963806
101,Train,800,398,402,-3.5793519055005163e-06,-7.465016096830368e-06
101,Validation,100,51,49,-4.600355168804526e-06,9.744428098201752e-06
202,OOD_Holdout,100,48,52,-2.046532928943634e-05,-0.0002769920974969864
202,Prediction,13,3,10,-0.0003370182731976876,-0.00046197324991226196
202,Train,800,379,421,-2.009395640925504e-05,-2.2251158952713013e-05
202,Validation,100,53,47,9.789338801056146e-06,2.6964116841554642e-05
