,mean,std,min,max
Best_Val_Loss,8.926970236643683e-06,7.760398295248523e-07,8.039629756240175e-06,9.629574733480695e-06
Validation_RMSE,0.0029855168889546305,0.00013066821599552403,0.0028354241837751535,0.003103155698361341
Validation_MAE,0.0024182505905628203,4.0886453741971263e-05,0.002361294813454151,0.0024731126613914967
Validation_R2,0.941436505317688,0.008749314957790178,0.9322901964187622,0.9539697766304016
Test_RMSE,0.00308577291986232,0.00015970882197361192,0.0028573338248004433,0.003242419466426379
Test_MAE,0.0024558399338275192,0.00011349836628498246,0.002290134783834219,0.0026071963366121054
Test_R2,0.9380293726921082,0.005169791283581438,0.9338859915733337,0.9466515183448792
Prediction_RMSE,0.002835825888614792,0.0003463511008969729,0.0026150166245975854,0.0034486930920215888
Prediction_MAE,0.0023322297260165215,0.0002959553371119897,0.0020932378247380257,0.0028299230616539717
Prediction_R2,0.49643281698226926,0.1310073135277754,0.2640379071235657,0.576849102973938
