,mean,std,min,max
Best_Val_Loss,8.976404580607777e-06,8.70308316724752e-07,8.036063863983145e-06,1.040460636431817e-05
Validation_RMSE,0.0029933384252462114,0.0001428715486779693,0.0028347954216673284,0.003225617251838239
Validation_MAE,0.0024321680888533593,0.0001456351566077035,0.0022469712421298027,0.0026522078551352024
Validation_R2,0.9410064578056335,0.010005090976077224,0.927269697189331,0.9546923637390137
Test_RMSE,0.0030028309758210582,0.00014106723065070308,0.002849325905466668,0.003213734439418869
Test_MAE,0.0023823544848710298,0.0001130969414098382,0.0022496599704027176,0.002554234815761447
Test_R2,0.9410720705986023,0.007365622700037889,0.9343371391296387,0.9525675773620605
Prediction_RMSE,0.0031002732368373078,0.00018816808436191974,0.0028766572072262834,0.0033256213743900246
Prediction_MAE,0.002700777305290103,0.0001922326031187847,0.002513064304366708,0.0029680521693080664
Prediction_R2,0.4034809827804565,0.0723319140122355,0.31562840938568115,0.48793792724609375
