# W=4.600000e+02, H=5.196152e+02, B=1.000000e-02, a=2.200000e+02, ell=2.000000e+01, rect_b=1.000000e-01
# YI=1.000000e+00, parent_sigma_f=1.000000e+02, bar_rho=5.823707e-03, k0=-3.336554e-06, E_eff_init=-3.768966e-04
# u_f=1.000000e-02, P_f=-3.345485e-08, eps_f=1.924501e-05, sig_f=-7.272794e-09, W_f=-1.672742e-10, K_Ic=-1.911998e-07, barK_Ic=-4.275358e-10
time,u,P,eps,sig,du,dP,k_tangent,W_cum,is_failure
0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,-3.345485e-06,0.000000e+00,0
1.000000e-01,1.000000e-02,-3.345485e-08,1.924501e-05,-7.272794e-09,1.000000e-02,-3.345485e-08,-3.334006e-06,-1.672742e-10,1
2.000000e-01,2.000000e-02,-6.668012e-08,3.849002e-05,-1.449568e-08,1.000000e-02,-3.322527e-08,-3.330172e-06,-6.679491e-10,0
3.500000e-01,3.500000e-02,-1.167092e-07,6.735753e-05,-2.537155e-08,1.500000e-02,-5.002904e-08,-3.336059e-06,-2.043369e-09,0
5.750000e-01,5.750000e-02,-1.917823e-07,1.106588e-04,-4.169181e-08,2.250000e-02,-7.507320e-08,-3.337771e-06,-5.513898e-09,0
9.125000e-01,9.125000e-02,-3.044588e-07,1.756107e-04,-6.618669e-08,3.375000e-02,-1.126764e-07,-3.340316e-06,-1.388797e-08,0
1.418750e+00,1.418750e-01,-4.736215e-07,2.730386e-04,-1.029612e-07,5.062500e-02,-1.691627e-07,-3.344157e-06,-3.358312e-08,0
2.178125e+00,2.178125e-01,-7.277036e-07,4.191803e-04,-1.581964e-07,7.593749e-02,-2.540821e-07,-3.349433e-06,-7.919593e-08,0
3.178125e+00,3.178125e-01,-1.062912e-06,6.116304e-04,-2.310679e-07,1.000000e-01,-3.352088e-07,-3.355645e-06,-1.687267e-07,0
4.178125e+00,4.178125e-01,-1.398833e-06,8.040805e-04,-3.040940e-07,9.999999e-02,-3.359201e-07,-3.362727e-06,-2.918140e-07,0
5.178125e+00,5.178125e-01,-1.735458e-06,9.965306e-04,-3.772734e-07,9.999999e-02,-3.366253e-07,-3.369802e-06,-4.485285e-07,0
6.178125e+00,6.178125e-01,-2.072793e-06,1.188981e-03,-4.506072e-07,1.000000e-01,-3.373352e-07,-3.376938e-06,-6.389411e-07,0
7.178125e+00,7.178125e-01,-2.410845e-06,1.381431e-03,-5.240968e-07,9.999996e-02,-3.380523e-07,-3.384089e-06,-8.631229e-07,0
8.178125e+00,8.178125e-01,-2.749611e-06,1.573881e-03,-5.977415e-07,1.000000e-01,-3.387654e-07,-3.391256e-06,-1.121146e-06,0
9.178125e+00,9.178125e-01,-3.089097e-06,1.766331e-03,-6.715428e-07,1.000000e-01,-3.394859e-07,-3.397815e-06,-1.413081e-06,0
1.000000e+01,1.000000e+00,-3.368650e-06,1.924501e-03,-7.323153e-07,8.218747e-02,-2.795536e-07,-3.401413e-06,-1.678454e-06,0
